model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,repeat,fold,reference_native_aggregation_view,variant_native_aggregation_view,contrast_metrics_available,inference,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,0,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.4444444444444444,0.5555555555555555,0.11111111111111105,0.3,0.4444444444444444,0.14444444444444443,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,1,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5555555555555555,0.38888888888888884,-0.16666666666666663,0.5793650793650794,0.38888888888888884,-0.19047619047619058,0.5,0.0,-0.5
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,1,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7222222222222222,0.611111111111111,-0.11111111111111116,0.6666666666666666,0.5222222222222223,-0.14444444444444438,0.6666666666666666,0.4,-0.2666666666666666
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,1,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.43333333333333335,0.41269841269841273,-0.020634920634920617,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,1,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.4666666666666666,0.3,-0.16666666666666663,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,1,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5,-0.16666666666666663,0.5555555555555555,0.4444444444444444,-0.11111111111111105,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,2,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5555555555555555,0.611111111111111,0.05555555555555558,0.41269841269841273,0.5222222222222221,0.10952380952380941,0.0,0.4,0.4
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,2,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0.8222222222222223,0.5555555555555555,-0.26666666666666683,0.6666666666666666,0.0,-0.6666666666666666
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,2,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.611111111111111,0.11111111111111105,0.3333333333333333,0.5222222222222223,0.18888888888888894,0.0,0.4,0.4
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,2,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.38888888888888884,-0.2777777777777778,0.6666666666666666,0.0,-0.6666666666666666
