case_id,class_label,class_name,metric,n,mean_sd
inception_full__b3_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,50.7 ± 6.6
inception_full__b3_star_fixed10,2,Young,balanced_accuracy_ovr,5,69.9 ± 8.4
inception_full__b3_star_fixed10,2,Young,f1,5,56.6 ± 15.3
inception_full__b3_star_fixed10,2,Young,recall,5,47.5 ± 13.7
inception_full__b3_star_fixed10,2,Young,specificity,5,92.4 ± 7.2
inception_full__b3_star_fixed10,2,Young,roc_auc_ovr,5,76.2 ± 3.8
inception_full__b3_star_fixed10,2,Young,pr_auc_ovr,5,70.5 ± 6.6
inception_full__b4_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,55.1 ± 9.3
inception_full__b4_star_fixed10,0,Pre-Frail,f1,5,39.3 ± 12.6
inception_full__b4_star_fixed10,0,Pre-Frail,recall,5,42.2 ± 14.5
inception_full__b4_star_fixed10,0,Pre-Frail,specificity,5,68.0 ± 5.7
inception_full__b4_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,58.6 ± 11.9
inception_full__b4_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,40.8 ± 7.7
inception_full__b4_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,55.8 ± 5.3
inception_full__b4_star_fixed10,1,Robust/Non-Frail,f1,5,49.4 ± 6.3
inception_full__b4_star_fixed10,1,Robust/Non-Frail,recall,5,51.7 ± 9.1
inception_full__b4_star_fixed10,1,Robust/Non-Frail,specificity,5,60.0 ± 7.7
inception_full__b4_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,58.2 ± 8.2
inception_full__b4_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,55.6 ± 7.9
inception_full__b4_star_fixed10,2,Young,balanced_accuracy_ovr,5,60.4 ± 6.6
inception_full__b4_star_fixed10,2,Young,f1,5,40.5 ± 10.5
inception_full__b4_star_fixed10,2,Young,recall,5,35.0 ± 10.5
inception_full__b4_star_fixed10,2,Young,specificity,5,85.7 ± 5.8
inception_full__b4_star_fixed10,2,Young,roc_auc_ovr,5,54.8 ± 6.8
inception_full__b4_star_fixed10,2,Young,pr_auc_ovr,5,46.8 ± 11.2
inception_full__b5_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,65.6 ± 5.1
inception_full__b5_star_fixed10,0,Pre-Frail,f1,5,52.4 ± 6.6
inception_full__b5_star_fixed10,0,Pre-Frail,recall,5,51.1 ± 6.1
inception_full__b5_star_fixed10,0,Pre-Frail,specificity,5,80.0 ± 6.1
inception_full__b5_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,73.1 ± 5.6
inception_full__b5_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,62.3 ± 4.6
inception_full__b5_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,51.4 ± 4.8
inception_full__b5_star_fixed10,1,Robust/Non-Frail,f1,5,42.2 ± 5.9
inception_full__b5_star_fixed10,1,Robust/Non-Frail,recall,5,41.7 ± 8.3
inception_full__b5_star_fixed10,1,Robust/Non-Frail,specificity,5,61.2 ± 9.8
inception_full__b5_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,53.1 ± 3.9
inception_full__b5_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,50.6 ± 8.1
inception_full__b5_star_fixed10,2,Young,balanced_accuracy_ovr,5,72.2 ± 5.8
inception_full__b5_star_fixed10,2,Young,f1,5,60.0 ± 8.7
inception_full__b5_star_fixed10,2,Young,recall,5,62.5 ± 8.8
inception_full__b5_star_fixed10,2,Young,specificity,5,81.9 ± 9.2
inception_full__b5_star_fixed10,2,Young,roc_auc_ovr,5,82.4 ± 4.2
inception_full__b5_star_fixed10,2,Young,pr_auc_ovr,5,71.0 ± 6.6
inception_full__b6_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,66.8 ± 1.4
inception_full__b6_star_fixed10,0,Pre-Frail,f1,5,54.4 ± 1.6
inception_full__b6_star_fixed10,0,Pre-Frail,recall,5,55.6 ± 0.0
inception_full__b6_star_fixed10,0,Pre-Frail,specificity,5,78.0 ± 2.7
inception_full__b6_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,78.1 ± 5.5
inception_full__b6_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,67.2 ± 3.9
inception_full__b6_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.8 ± 2.8
inception_full__b6_star_fixed10,1,Robust/Non-Frail,f1,5,49.2 ± 6.5
inception_full__b6_star_fixed10,1,Robust/Non-Frail,recall,5,50.0 ± 10.2
inception_full__b6_star_fixed10,1,Robust/Non-Frail,specificity,5,63.5 ± 4.9
inception_full__b6_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,57.9 ± 2.9
inception_full__b6_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,50.8 ± 5.6
inception_full__b6_star_fixed10,2,Young,balanced_accuracy_ovr,5,75.5 ± 5.7
inception_full__b6_star_fixed10,2,Young,f1,5,65.2 ± 8.6
inception_full__b6_star_fixed10,2,Young,recall,5,62.5 ± 8.8
inception_full__b6_star_fixed10,2,Young,specificity,5,88.6 ± 7.2
inception_full__b6_star_fixed10,2,Young,roc_auc_ovr,5,81.4 ± 6.8
inception_full__b6_star_fixed10,2,Young,pr_auc_ovr,5,72.7 ± 10.6
inception_full__b7_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,67.4 ± 2.5
inception_full__b7_star_fixed10,0,Pre-Frail,f1,5,55.1 ± 3.9
inception_full__b7_star_fixed10,0,Pre-Frail,recall,5,57.8 ± 9.3
inception_full__b7_star_fixed10,0,Pre-Frail,specificity,5,77.0 ± 5.7
inception_full__b7_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,75.9 ± 5.0
inception_full__b7_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,62.1 ± 5.5
inception_full__b7_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.2 ± 5.9
inception_full__b7_star_fixed10,1,Robust/Non-Frail,f1,5,48.9 ± 7.8
inception_full__b7_star_fixed10,1,Robust/Non-Frail,recall,5,50.0 ± 10.2
inception_full__b7_star_fixed10,1,Robust/Non-Frail,specificity,5,62.4 ± 3.2
inception_full__b7_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,59.6 ± 2.0
inception_full__b7_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,53.8 ± 4.4
inception_full__b7_star_fixed10,2,Young,balanced_accuracy_ovr,5,77.0 ± 2.0
inception_full__b7_star_fixed10,2,Young,f1,5,67.7 ± 3.8
inception_full__b7_star_fixed10,2,Young,recall,5,62.5 ± 0.0
inception_full__b7_star_fixed10,2,Young,specificity,5,91.4 ± 4.0
inception_full__b7_star_fixed10,2,Young,roc_auc_ovr,5,83.0 ± 5.7
inception_full__b7_star_fixed10,2,Young,pr_auc_ovr,5,77.7 ± 5.1
