rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
100,s1_131,inception_time,56.2 ± 5.8,"[49.0, 63.4]",56.3 ± 6.2,"[48.6, 64.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
101,s1_140,inception_time,56.2 ± 6.6,"[48.0, 64.4]",56.5 ± 6.4,"[48.5, 64.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
102,s1_004,inception_time,56.1 ± 8.3,"[45.8, 66.5]",57.3 ± 8.8,"[46.3, 68.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
103,s1_088,inception_time,56.1 ± 6.9,"[47.6, 64.7]",57.2 ± 7.5,"[47.9, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
104,s1_124,inception_time,56.1 ± 7.4,"[46.9, 65.3]",56.3 ± 7.4,"[47.2, 65.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
105,s1_102,inception_time,56.1 ± 3.8,"[51.4, 60.8]",56.1 ± 5.7,"[49.0, 63.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
106,s1_052,inception_time,56.1 ± 5.2,"[49.7, 62.6]",55.9 ± 5.6,"[49.0, 62.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
107,s1_167,inception_time,56.0 ± 7.3,"[47.0, 65.0]",56.3 ± 6.8,"[47.8, 64.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
108,s1_001,inception_time,56.0 ± 4.5,"[50.4, 61.6]",56.7 ± 3.9,"[51.8, 61.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
109,s1_061,inception_time,56.0 ± 5.3,"[49.4, 62.6]",56.6 ± 5.7,"[49.5, 63.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
110,s1_015,inception_time,55.9 ± 6.9,"[47.4, 64.5]",56.8 ± 6.6,"[48.6, 65.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
111,s1_169,inception_time,55.9 ± 7.4,"[46.8, 65.1]",56.1 ± 7.6,"[46.7, 65.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
112,s1_152,inception_time,55.8 ± 2.1,"[53.2, 58.4]",56.5 ± 2.7,"[53.2, 59.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
113,s1_055,inception_time,55.8 ± 3.4,"[51.6, 60.1]",55.7 ± 3.4,"[51.5, 59.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
114,s1_010,inception_time,55.7 ± 5.4,"[49.0, 62.5]",56.6 ± 5.9,"[49.3, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
115,s1_133,inception_time,55.7 ± 6.2,"[48.0, 63.5]",55.8 ± 6.0,"[48.4, 63.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
116,s1_126,inception_time,55.7 ± 7.1,"[46.9, 64.6]",55.1 ± 6.4,"[47.1, 63.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
117,s1_174,inception_time,55.6 ± 4.5,"[50.0, 61.3]",56.7 ± 4.1,"[51.6, 61.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
118,s1_022,inception_time,55.6 ± 4.7,"[49.8, 61.3]",56.8 ± 4.9,"[50.7, 62.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
119,s1_044,inception_time,55.6 ± 3.4,"[51.4, 59.8]",56.1 ± 4.4,"[50.7, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
120,s1_114,inception_time,55.6 ± 9.3,"[44.0, 67.1]",54.5 ± 10.0,"[42.1, 66.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
