source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260608_top2_s1_091,inception_time,ref_20260608_top2_s1_091,ref_20260608_top2_s1_091,4,30042,0.6203703703703703,0.5824915824915825,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260608_top2_s1_091,inception_time,ref_20260608_top2_s1_091,ref_20260608_top2_s1_091,5,40042,0.5833333333333334,0.5827485380116958,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top1_s1_122,inception_time,ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,1,42,0.6435185185185185,0.6207729468599034,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top1_s1_122,inception_time,ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,2,10042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top1_s1_122,inception_time,ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,3,20042,0.6296296296296297,0.609090909090909,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top1_s1_122,inception_time,ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,4,30042,0.611111111111111,0.6178266178266177,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top1_s1_122,inception_time,ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,5,40042,0.6203703703703703,0.6121212121212122,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top2_s1_102,inception_time,ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,1,42,0.6712962962962963,0.6551226551226551,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top2_s1_102,inception_time,ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,2,10042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top2_s1_102,inception_time,ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,3,20042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top2_s1_102,inception_time,ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,4,30042,0.611111111111111,0.6178266178266177,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,ref_20260625_top2_s1_102,inception_time,ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,5,40042,0.6018518518518519,0.5747255840135098,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
